Year_BR,IM_GDP_P_BR,IM_Growth_P_BR,IM_BoP_BR,IM_dll_BR,IM_Services_dll_BR,IM_Goods_dll_BR,EX_GDP_P_BR,EX_Growth_P_BR,EX_BoP_BR,EX_dll_BR,EX_Services_dll_BR,EX_Goods_dll_BR,GDP_Growth_P_BR,GDP_PPP_dll_BR,Country_BR,Year_MX,IM_GDP_P_MX,IM_Growth_P_MX,IM_BoP_MX,IM_dll_MX,IM_Services_dll_MX,IM_Goods_dll_MX,EX_GDP_P_MX,EX_Growth_P_MX,EX_BoP_MX,EX_dll_MX,EX_Services_dll_MX,EX_Goods_dll_MX,GDP_Growth_P_MX,GDP_PPP_dll_MX,Country_MX,Year_AR,IM_GDP_P_AR,IM_Growth_P_AR,IM_BoP_AR,IM_dll_AR,IM_Services_dll_AR,IM_Goods_dll_AR,EX_GDP_P_AR,EX_Growth_P_AR,EX_BoP_AR,EX_dll_AR,EX_Services_dll_AR,EX_Goods_dll_AR,GDP_Growth_P_AR,GDP_PPP_dll_AR,Country_AR,Year_CH,IM_GDP_P_CH,IM_Growth_P_CH,IM_BoP_CH,IM_dll_CH,IM_Services_dll_CH,IM_Goods_dll_CH,EX_GDP_P_CH,EX_Growth_P_CH,EX_BoP_CH,EX_dll_CH,EX_Services_dll_CH,EX_Goods_dll_CH,GDP_Growth_P_CH,GDP_PPP_dll_CH,Country_CH,Year_ID,IM_GDP_P_ID,IM_Growth_P_ID,IM_BoP_ID,IM_dll_ID,IM_Services_dll_ID,IM_Goods_dll_ID,EX_GDP_P_ID,EX_Growth_P_ID,EX_BoP_ID,EX_dll_ID,EX_Services_dll_ID,EX_Goods_dll_ID,GDP_Growth_P_ID,GDP_PPP_dll_ID,Country_ID,Year_JP,IM_GDP_P_JP,IM_Growth_P_JP,IM_BoP_JP,IM_dll_JP,IM_Services_dll_JP,IM_Goods_dll_JP,EX_GDP_P_JP,EX_Growth_P_JP,EX_BoP_JP,EX_dll_JP,EX_Services_dll_JP,EX_Goods_dll_JP,GDP_Growth_P_JP,GDP_PPP_dll_JP,Country_JP,Year_KR,IM_GDP_P_KR,IM_Growth_P_KR,IM_BoP_KR,IM_dll_KR,IM_Services_dll_KR,IM_Goods_dll_KR,EX_GDP_P_KR,EX_Growth_P_KR,EX_BoP_KR,EX_dll_KR,EX_Services_dll_KR,EX_Goods_dll_KR,GDP_Growth_P_KR,GDP_PPP_dll_KR,Country_KR,Year_IN,IM_GDP_P_IN,IM_Growth_P_IN,IM_BoP_IN,IM_dll_IN,IM_Services_dll_IN,IM_Goods_dll_IN,EX_GDP_P_IN,EX_Growth_P_IN,EX_BoP_IN,EX_dll_IN,EX_Services_dll_IN,EX_Goods_dll_IN,GDP_Growth_P_IN,GDP_PPP_dll_IN,Country_IN
1980,11.3058,0.6767,27826000000.0,26571483279.6605,4871000000.0,22955000000.0,9.0527,22.6143,21869000000.0,21276141967.6084,1737000000.0,20132000000.0,9.111,0.0,BR,1980,12.292,37.1845,25854000000.0,25215695652.1739,6514000000.0,19340000000.0,10.1426,22.202,20875000000.0,20806478260.8696,5364000000.0,15511000000.0,9.2333,0.0,MX,1980,6.4837,46.3562,13182000000.0,4989980079.952,3788000000.0,9394000000.0,5.062,-5.1429,9897000000.0,3895791554.5635,1876000000.0,8021000000.0,1.5188,0.0,AG,1980,26.4487,18.8865,7052000000.0,7679845876.3395,1583000000.0,5469000000.0,21.6713,14.3198,5968000000.0,6292627054.0168,1263000000.0,4705000000.0,7.9866,0.0,CH,1980,22.1799,15.1185,0.0,16076492698.4434,0.0,0.0,30.4742,-5.6367,0.0,22088390908.4785,0.0,0.0,9.8801,0.0,ID,1980,14.1007,-7.761,0.0,155866963510.758,0.0,0.0,13.1271,16.9826,0.0,145104895104.895,0.0,0.0,2.8176,0.0,JP,1980,37.0917,-3.3359,25318600000.0,24257445302.3394,3739900000.0,21578700000.0,28.4392,8.5152,20041500000.0,18598850896.3996,5026200000.0,15015300000.0,-1.6457,0.0,KR,1980,9.245,14.3542,16927945724.1528,17225826069.329,2981250139.5739,13946695584.5789,6.1396,5.2373,11274397263.3685,11439539833.7726,2971257228.1798,8303140035.1887,6.7358,0.0,IN
1981,9.7994,-12.3571,27229000000.0,25827534749.1203,5138000000.0,22091000000.0,9.4204,21.3203,25541000000.0,24828388398.9376,2265000000.0,23276000000.0,-4.3934,0.0,BR,1981,12.2557,17.7214,33444000000.0,32350081632.6531,8489000000.0,24955000000.0,9.8616,11.3677,26061000000.0,26030530612.2449,5960000000.0,20101000000.0,8.5256,0.0,MX,1981,7.3719,-8.2389,11865000000.0,5800000170.8134,3434000000.0,8431000000.0,6.921,5.2039,10859000000.0,5445263189.7662,1716000000.0,9143000000.0,-5.1898,0.0,AG,1981,26.2165,15.8232,8293000000.0,9047297176.6123,1780000000.0,6513000000.0,15.5429,-8.9107,5008000000.0,5363825291.2401,1172000000.0,3836000000.0,6.5254,0.0,CH,1981,25.5469,27.06,21540000000.0,21847220125.757,4998000000.0,16542000000.0,27.6304,-2.3905,23797000000.0,23629067635.2529,449000000.0,23348000000.0,7.9272,0.0,ID,1981,13.5078,2.4242,0.0,164658527096.281,0.0,0.0,14.121,13.4089,0.0,172133957389.231,0.0,0.0,4.2093,0.0,JP,1981,37.1914,4.6726,28326100000.0,27124943100.8913,4110000000.0,24216100000.0,29.9399,13.8633,24161800000.0,21836189301.4992,6147300000.0,18014500000.0,7.2462,0.0,KR,1981,8.5712,10.0294,17397435384.721,16584540954.5994,3248934601.1218,14148500783.5992,5.936,-0.8169,11234710725.9819,11485654131.2966,2797358479.0327,8437352246.9492,6.0062,0.0,IN
1982,8.2745,-6.031,24792000000.0,23307743170.8143,5397000000.0,19395000000.0,7.6097,-9.1911,21982000000.0,21435129573.2899,1809000000.0,20173000000.0,0.5802,0.0,BR,1982,9.7071,-37.852,21101000000.0,17920283687.9433,6066000000.0,15035000000.0,14.4269,22.5584,26218000000.0,26633315602.8369,4988000000.0,21230000000.0,-0.5208,0.0,MX,1982,6.521,-42.58,6877000000.0,5497685333.135,2018000000.0,4859000000.0,9.0905,3.9466,9197000000.0,7663966255.6299,1574000000.0,7623000000.0,-0.7357,0.0,AG,1982,21.2521,-35.0838,5053000000.0,5382281400.6776,1410000000.0,3643000000.0,18.6131,4.6975,4642000000.0,4713939511.2892,936000000.0,3706000000.0,-11.0143,0.0,CH,1982,26.2972,8.2068,22716000000.0,23709141551.7909,4862000000.0,17854000000.0,22.379,-13.9376,20251000000.0,20176590282.7474,504000000.0,19747000000.0,2.2464,0.0,ID,1982,13.3725,-0.5752,0.0,151713508328.961,0.0,0.0,13.9207,1.4873,0.0,157932877703.936,0.0,0.0,3.3125,0.0,JP,1982,32.8611,1.5136,27041100000.0,25749575969.7981,3990000000.0,23051100000.0,27.3678,2.0481,23862000000.0,21445122284.8389,7174700000.0,16687300000.0,8.3381,0.0,KR,1982,8.1426,3.4542,17517737340.5087,16343487427.6871,3471435845.6014,14046301494.9073,5.9833,6.0205,12159028818.9729,12009388988.7104,2932696123.2026,9226332695.7703,3.4757,0.0,IN
1983,9.0083,-17.4328,19560000000.0,18314364418.7078,4131000000.0,15429000000.0,11.4218,14.3321,23622000000.0,23221079048.8769,1724000000.0,21898000000.0,-3.4098,0.0,BR,1983,8.9811,-33.7909,13502000000.0,14024762697.7519,4477000000.0,9025000000.0,18.115,14.2228,27217000000.0,28288293089.0924,4905000000.0,22312000000.0,-3.4864,0.0,MX,1983,5.8361,-6.9237,6343000000.0,6068376037.1801,2224000000.0,4119000000.0,9.1515,2.5826,9290000000.0,9515669466.7519,1455000000.0,7835000000.0,4.3491,0.0,AG,1983,21.3971,-18.3765,4081000000.0,4355576959.591,1236000000.0,2845000000.0,23.423,0.0294,4628000000.0,4767971202.8282,797000000.0,3831000000.0,-5.0174,0.0,CH,1983,28.8138,12.3308,22037000000.0,23354265855.6749,4311000000.0,17726000000.0,27.7454,6.2799,19235000000.0,22488286937.0563,546000000.0,18689000000.0,4.193,0.0,ID,1983,11.7628,-3.2298,0.0,146249637386.285,0.0,0.0,13.2973,4.9677,0.0,165328697491.534,0.0,0.0,3.523,0.0,JP,1983,30.0265,6.8843,27374300000.0,26351401869.1589,3991500000.0,23382800000.0,27.8857,16.4594,25863400000.0,24472574927.4895,6862200000.0,19001200000.0,13.3762,0.0,KR,1983,7.853,21.9842,17572596377.4069,17140058765.9158,3705025624.464,13867570752.9429,5.8376,-0.9149,13059989650.5483,12741342694.5045,3290114665.8443,9769874984.704,7.2889,0.0,IN
1984,7.9244,-2.9412,17612000000.0,16563864377.3291,3696000000.0,13916000000.0,13.5476,21.9546,28949000000.0,28317692072.5525,1947000000.0,27002000000.0,5.2691,0.0,BR,1984,9.1053,17.8072,17402000000.0,16777514898.6889,5235000000.0,12167000000.0,16.5671,5.7534,30192000000.0,30526865315.8522,5996000000.0,24196000000.0,3.4108,0.0,MX,1984,4.7565,4.7051,6407000000.0,3762000095.0361,2289000000.0,4118000000.0,7.5899,-2.5915,9611000000.0,6003000151.6485,1511000000.0,8100000000.0,1.5707,0.0,AG,1984,24.4608,12.8915,4495000000.0,4799834957.7967,1207000000.0,3288000000.0,22.801,2.2623,4314000000.0,4474125374.8645,664000000.0,3650000000.0,4.1037,0.0,CH,1984,22.7956,-7.5141,19286000000.0,19342945136.534,4239000000.0,15047000000.0,27.315,6.5395,21324000000.0,23177770004.1644,570000000.0,20754000000.0,6.9755,0.0,ID,1984,11.9474,10.6151,0.0,157511814670.189,0.0,0.0,14.3932,15.3533,0.0,189757601911.398,0.0,0.0,4.502,0.0,JP,1984,28.4638,4.3202,28669100000.0,27755155214.7696,4037500000.0,24631600000.0,28.904,12.6203,29298300000.0,28184322191.6177,6952200000.0,22346100000.0,10.5516,0.0,KR,1984,7.726,-14.3301,17857801537.7852,16391291180.1326,3641498270.9271,14216303266.8581,6.2834,7.2979,13423608500.9944,13330753440.7915,3232033318.4412,10191575182.5532,3.8207,0.0,IN
1985,7.0953,0.0,16958000000.0,15818492271.929,3790000000.0,13168000000.0,12.248,7.0267,27720000000.0,27305943051.3526,2086000000.0,25634000000.0,7.9459,0.0,BR,1985,9.765,10.9835,20058000000.0,19063168548.0732,5524000000.0,14534000000.0,14.5663,-4.4613,27741000000.0,28436329311.016,6077000000.0,21664000000.0,2.1877,0.0,MX,1985,6.2733,-13.0379,5705000000.0,5546666806.7873,2187000000.0,3518000000.0,11.7361,15.554,10047000000.0,10376666928.8033,1651000000.0,8396000000.0,-5.189,0.0,AG,1985,24.3328,-9.7806,4000900000.0,4307602967.6566,1080500000.0,2920400000.0,26.2511,12.3207,4496620000.0,4647193725.6303,692520000.0,3804100000.0,4.0099,0.0,CH,1985,20.9407,5.2773,17840000000.0,17860217890.5372,5135000000.0,12705000000.0,23.7777,-7.8042,19371000000.0,20279854572.5697,844000000.0,18527000000.0,2.4621,0.0,ID,1985,10.7028,-2.5781,0.0,149721341618.323,0.0,0.0,13.8932,5.2824,0.0,194350282012.176,0.0,0.0,5.2334,0.0,JP,1985,25.7854,-2.0418,26643600000.0,26119629433.8061,3618500000.0,23025100000.0,26.8716,1.2944,26719800000.0,27219948966.6904,5948300000.0,20771500000.0,7.8389,0.0,KR,1985,7.6455,13.8709,18984136045.6211,17776651903.182,3902932257.5147,15081203788.1064,5.2546,-6.3149,12849204785.9406,12217464494.0919,3384170907.6067,9465033878.334,5.2543,0.0,IN
1986,6.3546,28.6798,18433000000.0,17038985216.6532,4389000000.0,14044000000.0,8.8166,-10.5806,24164000000.0,23640556197.1808,1816000000.0,22348000000.0,7.9883,0.0,BR,1986,12.924,-7.5824,17627000000.0,17389311866.6231,5194000000.0,12433000000.0,16.6822,4.4906,22043000000.0,22445889179.4704,5885000000.0,16158000000.0,-3.079,0.0,MX,1986,6.3241,17.8674,6906000000.0,7015555449.2007,2500000000.0,4406000000.0,8.162,-10.2703,8449000000.0,9054444307.1803,1597000000.0,6852000000.0,6.1534,0.0,AG,1986,24.7335,7.9138,4604500000.0,4672424639.9967,1505400000.0,3099100000.0,27.3202,10.0938,5232260000.0,5161066966.6796,1041060000.0,4191200000.0,5.3777,0.0,CH,1986,20.5139,4.1682,16194000000.0,16401727045.0983,4256000000.0,11938000000.0,20.4956,15.2123,15240000000.0,16387068862.1352,844000000.0,14396000000.0,5.875,0.0,ID,1986,7.2388,4.2637,0.0,150490328139.483,0.0,0.0,10.9123,-4.9859,0.0,226862362760.934,0.0,0.0,3.3265,0.0,JP,1986,28.1393,33.2021,33121900000.0,32877077542.6853,4094100000.0,29027800000.0,31.9677,35.0253,37559800000.0,37350048216.0077,6399800000.0,31160000000.0,11.3273,0.0,KR,1986,7.0231,17.084,19631790603.5359,17486411449.5757,3945325642.706,15686464960.8299,5.1962,5.4324,13476274302.0899,12937864153.5995,3228227514.1405,10248046787.9495,4.7766,0.0,IN
1987,6.1927,-2.9438,19368000000.0,18211636976.1514,4316000000.0,15052000000.0,9.4599,19.2353,28162000000.0,27820190044.6057,1952000000.0,26210000000.0,3.5996,0.0,BR,1987,12.7258,5.1407,18616000000.0,18775671165.2881,5310000000.0,13306000000.0,18.5366,9.4903,27529000000.0,27348987810.1872,7034000000.0,20495000000.0,1.7224,0.0,MX,1987,7.5758,11.4852,7909000000.0,8417142923.9616,2566000000.0,5343000000.0,7.8732,-3.482,8154000000.0,8747619117.0613,1794000000.0,6360000000.0,2.7049,0.0,AG,1987,25.8491,18.6098,5493100000.0,5752821225.9121,1498800000.0,3994300000.0,28.3439,6.7403,6348000000.0,6308060062.7716,1045000000.0,5303000000.0,6.4605,0.0,CH,1987,22.3974,1.9763,16972000000.0,17006296447.4817,4440000000.0,12532000000.0,24.5768,14.6236,18271000000.0,18661070326.1201,1065000000.0,17206000000.0,4.9259,0.0,ID,1987,7.169,9.3737,0.0,181576008987.987,0.0,0.0,9.9374,0.101,0.0,251695445510.328,0.0,0.0,4.7307,0.0,JP,1987,28.1849,18.0936,42522600000.0,41699065125.1565,4792200000.0,37730400000.0,34.8153,24.4359,52267900000.0,51508564620.6402,8559600000.0,43708300000.0,12.7237,0.0,KR,1987,6.9802,-1.6682,22290070406.5336,19477194741.1034,4629176088.4992,17660894318.0344,5.6046,12.7273,15247435579.9095,15638662913.9839,3363400778.8603,11884034801.0492,3.9654,0.0,IN
1988,5.6925,-1.1265,19907000000.0,18807996682.1739,5302000000.0,14605000000.0,10.8882,13.079,36052000000.0,35974382968.3631,2279000000.0,33773000000.0,-0.1027,0.0,BR,1988,18.6943,36.719,26554000000.0,33950973120.4083,6281000000.0,20273000000.0,20.0961,5.763,28968000000.0,36496759051.5156,8421000000.0,20547000000.0,1.2833,0.0,MX,1988,6.2118,-9.208,7594000000.0,7839772666.0409,2702000000.0,4892000000.0,9.5316,18.7196,11149000000.0,12029545360.5898,2015000000.0,9134000000.0,-1.0899,0.0,AG,1988,25.9811,12.7933,6624700000.0,6765529485.8378,1780400000.0,4844300000.0,32.4735,11.5557,8144000000.0,8456167150.4174,1089900000.0,7054100000.0,7.3451,0.0,CH,1988,22.2129,-18.6945,18437000000.0,18725515165.41,4606000000.0,13831000000.0,25.0417,1.0515,20878000000.0,21110162562.0037,1369000000.0,19509000000.0,5.7805,0.0,ID,1988,7.6109,18.9992,0.0,233782306438.385,0.0,0.0,9.5745,6.8016,0.0,294098322534.933,0.0,0.0,6.785,0.0,JP,1988,26.2144,13.223,53117300000.0,52321489603.1279,6179700000.0,46937600000.0,32.4893,10.6754,65692600000.0,64845584918.0417,9339600000.0,56353000000.0,11.9877,0.0,KR,1988,7.4552,9.1945,25412608224.0404,22111392789.7933,5321401025.6651,20091207198.3753,6.0352,7.4731,17301077321.6336,17899797605.808,3791282738.484,13509794583.1496,9.6278,0.0,IN
1989,5.4613,8.9395,24180000000.0,23242900390.625,5917000000.0,18263000000.0,8.9296,5.0855,37507000000.0,38004000000.0,3132000000.0,34375000000.0,3.2795,0.0,BR,1989,19.1975,21.2573,33318000000.0,42503284582.5716,7880000000.0,25438000000.0,19.1322,2.2695,33051000000.0,42358817387.7717,10209000000.0,22842000000.0,4.1055,0.0,MX,1989,6.5794,-16.5167,6657000000.0,5042239480.9594,2793000000.0,3864000000.0,13.0584,7.4303,11766000000.0,10007559520.4417,2193000000.0,9573000000.0,-7.1569,0.0,AG,1989,29.2729,25.0384,8590110000.0,8748407009.5839,1994910000.0,6595200000.0,33.7,16.111,9612650000.0,10071482715.094,1534250000.0,8078400000.0,9.9234,0.0,CH,1989,22.9943,13.4432,21749000000.0,21718472101.1905,5439000000.0,16310000000.0,26.0876,10.4465,24849000000.0,24640067882.5837,1875000000.0,22974000000.0,7.4566,0.0,ID,1989,8.7604,17.8009,0.0,267623386902.708,0.0,0.0,10.1118,9.5817,0.0,308906500517.525,0.0,0.0,4.858,0.0,JP,1989,25.5551,15.8175,63985500000.0,63102493074.7922,8534400000.0,55451100000.0,27.3586,-3.6662,67709600000.0,67555773985.0475,9848100000.0,57861500000.0,7.0729,0.0,KR,1989,8.152,2.0844,28127927456.0753,24133378144.8051,5873652595.4824,22254274860.5929,7.0161,11.9791,20283679802.9595,20770717303.6297,4139799056.965,16143880745.9945,5.9473,0.0,IN
1990,6.9618,10.0664,28184000000.0,32160000000.0,7523000000.0,20661000000.0,8.2,-4.9219,35170000000.0,37880000000.0,3762000000.0,31408000000.0,-3.1024,6701.209,BR,1990,19.8152,19.7448,41594000000.0,51767986204.9349,10323000000.0,31271000000.0,18.7045,3.6449,38484000000.0,48866100760.8618,11646000000.0,26838000000.0,5.1758,8081.8361,MX,1990,4.6313,-1.8999,6846000000.0,6546483925.6993,3120000000.0,3726000000.0,10.3595,18.0116,14800000000.0,14643450361.4013,2446000000.0,12354000000.0,-2.4672,7195.6914,AG,1990,29.2511,5.8088,9165510000.0,9686180975.7238,2076310000.0,7089200000.0,32.4946,8.6172,10220800000.0,10760217714.584,1848100000.0,8372700000.0,3.3336,4511.17,CH,1990,25.5861,23.1129,27511000000.0,27157275252.8765,6056000000.0,21455000000.0,27.3058,0.451,29295000000.0,28982531189.7617,2488000000.0,26807000000.0,7.2421,3082.0823,ID,1990,9.443,8.1646,0.0,295831621112.972,0.0,0.0,10.2198,7.4249,0.0,320166445085.208,0.0,0.0,4.8927,19561.2016,JP,1990,25.756,13.4344,73841900000.0,72984062394.0319,10291200000.0,63550700000.0,24.9943,5.0876,70653500000.0,70825844919.1816,10792200000.0,59861300000.0,9.8776,8392.411,KR,1990,8.4529,3.3658,29526607272.4647,27132072318.021,6089548067.0528,23437059205.4119,7.0534,11.1044,22911050152.3697,22639774911.5525,4624863458.1766,18286186694.1932,5.5335,1201.6685,IN
1991,7.9139,18.6778,28251000000.0,47710000000.0,7210000000.0,21041000000.0,8.677,10.6327,34938000000.0,52310000000.0,3319000000.0,31619000000.0,1.5119,6909.9217,BR,1991,19.3531,16.7784,49143000000.0,60602974423.5357,10959000000.0,38184000000.0,16.4334,4.5847,39774000000.0,51459972501.9878,12919000000.0,26855000000.0,4.2148,8559.9001,MX,1991,6.078,80.0557,11566000000.0,11531201153.6445,4007000000.0,7559000000.0,7.675,-3.6241,14386000000.0,14561091033.0362,2408000000.0,11978000000.0,9.1331,8005.4656,AG,1991,26.7933,6.9524,9549500000.0,10137181116.2018,2093100000.0,7456400000.0,31.301,12.4334,11068200000.0,11842675065.5747,2126700000.0,8941500000.0,7.8044,4952.5385,CH,1991,26.4883,16.8275,31398000000.0,30891188671.1508,6564000000.0,24834000000.0,28.3513,19.8803,32457000000.0,33063806609.367,2822000000.0,29635000000.0,6.912,3347.8905,ID,1991,8.2879,-1.1355,0.0,297072083274.254,0.0,0.0,9.7861,5.4282,0.0,350773940717.128,0.0,0.0,3.4175,20849.0176,JP,1991,26.0485,19.9841,86764700000.0,86128997068.2485,12210500000.0,74554200000.0,23.7766,12.2216,78598000000.0,78616895070.5666,11197200000.0,67400800000.0,10.7781,9486.8217,KR,1991,8.4935,0.0152,27031902767.4675,22941358805.152,5945075745.0026,21086827022.4649,8.4942,9.6623,23020341172.3229,22943398073.2995,4925463516.7967,18094877655.5263,1.0568,1230.087,IN
1992,8.3851,4.5233,27984000000.0,33590625000.0,7430000000.0,20554000000.0,10.8682,16.5473,39881000000.0,43538125000.0,4088000000.0,35793000000.0,-0.4669,6915.3127,BR,1992,20.2968,20.8612,60152000000.0,73709195127.4678,11959000000.0,48193000000.0,15.2567,1.6838,41534000000.0,55406026689.0691,14018000000.0,27516000000.0,3.5411,8936.0479,MX,1992,8.1328,65.684,19319500000.0,18606904906.1175,5524700000.0,13794800000.0,6.5982,-1.0297,15366200000.0,15095901877.6499,2968800000.0,12397400000.0,7.9373,8719.1017,AG,1992,27.2923,21.8078,11821400000.0,12544703151.5803,2536000000.0,9285400000.0,28.9618,13.9268,12367400000.0,13312092909.9785,2360000000.0,10007400000.0,11.1667,5622.7774,CH,1992,27.12,6.565,34874000000.0,34720875699.535,8100000000.0,26774000000.0,30.3075,14.6644,37187000000.0,38801726176.401,3391000000.0,33796000000.0,6.4975,3585.5278,ID,1992,7.6377,-0.6862,0.0,298544112851.585,0.0,0.0,9.6921,4.6025,0.0,378844907237.431,0.0,0.0,0.8481,21451.6742,JP,1992,24.687,4.817,88533700000.0,87768654326.5228,13604300000.0,74929400000.0,24.0724,12.1243,85261300000.0,85583424069.6855,11772300000.0,73489000000.0,6.1986,10201.2634,KR,1992,9.5902,21.1281,29665639165.5541,27639684528.9706,6735101347.1152,22930537818.4389,8.8429,4.8932,24953469070.621,25486060890.6036,4934088263.3095,20019380807.3115,5.4824,1300.7751,IN
